GENE	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
WNT5B	0.0000000449054370344338	0.783515444023597	0.298	0.07	0.00092559086815375	4	WNT5B
ALDH3A2	0.0000000449239213466823	0.313110008254629	0.421	0.117	0.000925971866797816	4	ALDH3A2
IQSEC12	0.0000000458834312491841	0.346302001138304	0.684	0.242	0.000945749284908182	4	IQSEC1
NPIPB4	0.0000000478196330263983	0.510897480276127	0.404	0.114	0.000985658275940122	4	NPIPB4
WDR27	0.0000000483255813064705	0.38888133462181	0.368	0.097	0.00099608688188897	4	WDR27
GUCY1A3	0.0000000494600137469223	0.769986675476388	0.263	0.055	0.00101946980335156	4	GUCY1A3
BCL11B	0.0000000497954472507013	0.545129692027491	0.298	0.07	0.00102638375873145	4	BCL11B
EXT21	0.0000000499462495268963	0.488039108387395	0.456	0.135	0.00102949209524839	4	EXT2
SLC31A1	0.0000000514313799940338	0.584542344071041	0.333	0.084	0.00106010360443703	4	SLC31A1
OCA21	0.0000000525622076032781	0.697965954577318	0.263	0.055	0.00108341222311877	4	OCA2
AC013463.2	0.0000000528106553771865	0.456626512084794	0.316	0.076	0.00108853322863457	4	AC013463.2
SLC12A6	0.0000000535228857430186	0.335677597211589	0.491	0.151	0.0011032137209351	4	SLC12A6
INPP4B2	0.0000000535769860182483	0.510105600567665	0.684	0.277	0.00110432883580813	4	INPP4B
RPTOR	0.0000000539524040679161	0.273875048544934	0.649	0.225	0.00111206695264789	4	RPTOR
FAM92A1	0.000000054372465331932	0.445304979771003	0.281	0.062	0.00112072525542178	4	FAM92A1
LMTK31	0.000000054703857474077	0.443544359404543	0.386	0.105	0.00112755591025567	4	LMTK3
ZDHHC22	0.000000054892664104599	0.675721206354266	0.263	0.055	0.00113144759252399	4	ZDHHC22
EFCAB5	0.0000000552744746002783	0.348034164346639	0.298	0.068	0.00113931747046094	4	EFCAB5
AAGAB	0.0000000561207273523805	0.414778303216539	0.421	0.122	0.00115676043218727	4	AAGAB
GULP1	0.0000000564734094383521	0.70643017684468	0.386	0.113	0.00116402991534331	4	GULP1
MTCP1	0.0000000565255404306147	0.835823629385847	0.298	0.07	0.00116510443935583	4	MTCP1
GIT21	0.0000000565491481015708	0.285285143011511	0.579	0.19	0.00116559104066958	4	GIT2
FAM73B	0.0000000566750198891218	0.414664948964808	0.281	0.062	0.00116818550995458	4	FAM73B
CERS62	0.0000000569143682358297	0.613447603029762	0.667	0.276	0.00117311895807692	4	CERS6
TRAF3IP1	0.0000000570003746713696	0.276499017696095	0.386	0.103	0.00117489172272627	4	TRAF3IP1
ATG16L1	0.0000000575872285418835	0.688764772952412	0.281	0.063	0.0011869879547053	4	ATG16L1
RERGL	0.0000000578215695723511	0.43542659773443	0.263	0.055	0.0011918181920253	4	RERGL
COL27A1	0.0000000581016129910165	0.412080214725699	0.281	0.062	0.00119759044697083	4	COL27A1
AP3M1	0.0000000589226387582566	0.898642931569354	0.333	0.086	0.00121451343008518	4	AP3M1
SNX141	0.0000000598694009683916	0.419615764904944	0.509	0.16	0.00123402809276049	4	SNX14
PLCB41	0.0000000604510374082969	0.510482252060717	0.404	0.114	0.00124601678305982	4	PLCB4
MTR	0.0000000606168932296791	0.441151778050145	0.544	0.177	0.00124943540325014	4	MTR
KLHDC2	0.0000000624050166622165	0.270257674646441	0.491	0.149	0.00128629220344161	4	KLHDC2
RP11-278H7.1	0.0000000625006524996454	0.309975023468398	0.263	0.055	0.00128826344932269	4	RP11-278H7.1
ASB8	0.0000000625128145876298	0.859323529202297	0.281	0.063	0.00128851413428023	4	ASB8
TMEM2323	0.0000000637976519115577	0.532514077932048	0.702	0.277	0.00131499720120103	4	TMEM232
SLF11	0.0000000641234773491541	0.394499850543887	0.474	0.144	0.00132171311512076	4	SLF1
RASGEF1C	0.0000000642734877704589	0.549791043973149	0.421	0.124	0.0013248051299247	4	RASGEF1C
KIAA08252	0.0000000646114660523464	0.584048785985981	0.719	0.292	0.00133177153827096	4	KIAA0825
TVP23A1	0.000000065102817479381	0.374170599773133	0.368	0.097	0.001341899273885	4	TVP23A
GCLM	0.0000000660428525808288	0.423928392193123	0.456	0.138	0.00136127527739604	4	GCLM
PDE4A1	0.0000000665494996094755	0.280436988523315	0.386	0.103	0.00137171828595051	4	PDE4A
ARHGAP202	0.0000000676661265305356	0.372866701617489	0.474	0.147	0.0013947342000474	4	ARHGAP20
ERCC12	0.0000000678808208279953	0.310248002316348	0.439	0.128	0.00139915947890664	4	ERCC1
TTC81	0.0000000679511869658965	0.390713496482149	0.368	0.098	0.00140060986574106	4	TTC8
TMEM170B	0.0000000686207708103044	0.646101567768888	0.351	0.092	0.00141441132794199	4	TMEM170B
NLN	0.0000000688879871449094	0.535968587280236	0.491	0.157	0.00141991919103087	4	NLN
FAM13A2	0.0000000694418295981827	0.702457289608194	0.684	0.295	0.00143133499167774	4	FAM13A
PTPN1	0.0000000696646998190044	0.421138084460983	0.439	0.132	0.00143592879266932	4	PTPN1
TMEM25	0.0000000699127415020002	0.329772857310407	0.263	0.055	0.00144104142783923	4	TMEM25
FRMD4A4	0.0000000709332485871798	0.685391901740685	0.754	0.463	0.00146207611987895	4	FRMD4A
CCDC73	0.0000000712876428648673	0.338778177350624	0.368	0.098	0.00146938089473064	4	CCDC73
KIAA15491	0.000000071690851659413	0.605626107467096	0.439	0.138	0.00147769183440382	4	KIAA1549
LONRF1	0.000000072141592062373	0.749032981564457	0.368	0.101	0.00148698249558963	4	LONRF1
PPT1	0.000000072269580850329	0.437784935884987	0.368	0.098	0.00148962060048698	4	PPT1
PHF112	0.0000000727324992830731	0.436053429545185	0.509	0.165	0.0014991622752227	4	PHF11
KLHL12	0.0000000741391424846781	0.411878992845559	0.351	0.092	0.00152815600489419	4	KLHL12
SLC9A7	0.0000000742204162411743	0.620941078138429	0.281	0.063	0.00152983121956308	4	SLC9A7
SARS1	0.0000000747066416837846	0.42104310019907	0.421	0.124	0.00153985329838617	4	SARS
SVOP1	0.0000000759984888477106	0.696861597523673	0.404	0.117	0.00156648085212901	4	SVOP
DCLK13	0.0000000762509240943499	0.558016071952722	0.719	0.361	0.00157168404743274	4	DCLK1
FAM168B	0.0000000768173967837287	0.67984583009176	0.439	0.132	0.00158336018250622	4	FAM168B
MCRS1	0.0000000768316600495925	0.344375913611926	0.298	0.07	0.0015836541769422	4	MCRS1
USP252	0.0000000777970643298125	0.477777458090681	0.596	0.212	0.0016035530899661	4	USP25
MPPED11	0.0000000778531602677292	0.451166979231225	0.386	0.108	0.00160470933943843	4	MPPED1
BOLA3	0.0000000779383218215221	0.621449415943997	0.281	0.063	0.00160646468938521	4	BOLA3
SPATA17	0.0000000785751621294703	0.318138123196833	0.281	0.063	0.00161959124181264	4	SPATA17
SLC8A31	0.000000080064526925794	0.322744710200585	0.368	0.098	0.00165029002899447	4	SLC8A3
MFN2	0.0000000804827922201058	0.783661987775219	0.333	0.087	0.00165891131324082	4	MFN2
POMGNT11	0.0000000809900561869888	0.589533341279664	0.386	0.108	0.00166936703812621	4	POMGNT1
SH3GL11	0.0000000811639233530644	0.327288674120309	0.474	0.144	0.00167295078815336	4	SH3GL1
ANKRD40	0.0000000828060134325977	0.378299051283795	0.316	0.078	0.0017067975488727	4	ANKRD40
RAP2A1	0.000000083697265233982	0.521365649320894	0.386	0.108	0.00172516803100284	4	RAP2A
COPS7A	0.0000000840283435387362	0.737639262906019	0.316	0.079	0.00173199221702043	4	COPS7A
PPP1R13B3	0.0000000842552976236554	0.382588313217954	0.649	0.233	0.00173667019461879	4	PPP1R13B
ERN1	0.0000000844733100509181	0.655896810098405	0.298	0.071	0.00174116386676952	4	ERN1
TMEM178A1	0.0000000849412505449993	0.263973063010343	0.579	0.195	0.00175080905623353	4	TMEM178A
FAM65A1	0.0000000851664774225071	0.464057955335404	0.421	0.124	0.00175545143263272	4	FAM65A
TDG	0.0000000853634329614743	0.404197911512127	0.386	0.108	0.00175951108020191	4	TDG
SLC12A81	0.0000000856713411001848	0.818420789932005	0.298	0.073	0.00176585768275701	4	SLC12A8
NDRG42	0.0000000865667841153353	0.520005599145753	0.544	0.192	0.00178431455418529	4	NDRG4
STOX21	0.0000000872261475347283	0.514034242511424	0.789	0.341	0.00179790535298582	4	STOX2
RP11-32K4.13	0.0000000882030824781215	0.30126694456293	0.632	0.22	0.00181804193603904	4	RP11-32K4.1
LINC01301	0.0000000916077645733157	0.524816315236742	0.333	0.086	0.00188821924338518	4	LINC01301
B4GALT61	0.0000000928443404776514	0.305104552344932	0.368	0.1	0.00191370754592535	4	B4GALT6
NIT2	0.0000000941555954600108	0.380161107423921	0.263	0.057	0.00194073513362174	4	NIT2
CYTH32	0.0000000946717552241186	0.259557016226128	0.509	0.16	0.00195137421867953	4	CYTH3
SSNA1	0.0000000948717748258489	0.629521511689361	0.333	0.087	0.0019554970227104	4	SSNA1
CNTN12	0.0000000967738390919734	0.632405211485931	0.702	0.357	0.00199470237136376	4	CNTN1
RAI11	0.0000000973208304962477	0.567206123610785	0.386	0.108	0.00200597695818866	4	RAI1
RP11-513G19.1	0.0000000981917769867217	0.696452562486004	0.316	0.079	0.00202392890725031	4	RP11-513G19.1
MGAT3	0.0000000989122531137891	0.936241268030019	0.351	0.094	0.00203877936118142	4	MGAT3
ADGRB11	0.00000010205380312981	0.48852605880496	0.316	0.078	0.00210353299011164	4	ADGRB1
LPIN11	0.000000103585503737106	0.476665133371265	0.544	0.177	0.00213510440302923	4	LPIN1
FRMD6	0.000000104226151256562	0.36368970193921	0.333	0.086	0.00214830942970025	4	FRMD6
SLC9A1	0.000000104335128146409	0.308321903373354	0.281	0.063	0.00215055566135378	4	SLC9A1
RP11-10K17.6	0.000000105064234861994	0.456895527748572	0.263	0.057	0.00216558400897543	4	RP11-10K17.6
MIR646HG	0.000000105134715166637	0.472727013056797	0.316	0.078	0.00216703674901473	4	MIR646HG
TDRP	0.000000106008418431336	0.748948356152921	0.281	0.065	0.0021850455207067	4	TDRP
SCN1A3	0.000000106199476092604	0.359292126397409	0.614	0.225	0.00218898360122076	4	SCN1A
ABHD22	0.000000106341300664626	0.337475534068768	0.649	0.228	0.00219190688929928	4	ABHD2
SGSM31	0.000000106561096882947	0.671720474838512	0.404	0.119	0.0021964373289513	4	SGSM3
MCCC2	0.000000107077763562048	0.39053556779303	0.439	0.13	0.00220708686254093	4	MCCC2
STAU21	0.000000109796913038673	0.313079377338123	0.667	0.247	0.00226313397155312	4	STAU2
MAU2	0.000000110178906233828	0.26373387229877	0.474	0.146	0.00227100761529167	4	MAU2
NYAP21	0.00000011173726695446	0.673863680499243	0.333	0.087	0.00230312854646534	4	NYAP2
TMEM65	0.000000111835280049876	0.475285746937614	0.421	0.125	0.00230514879238804	4	TMEM65
CTDSPL2	0.000000113183958287605	0.334709569029564	0.649	0.233	0.00233294774822412	4	CTDSPL
NCAPD3	0.000000113322587198449	0.35154274464982	0.263	0.057	0.00233580516733443	4	NCAPD3
TTLL1	0.000000114123980711226	0.380040229507116	0.298	0.071	0.00235232349041979	4	TTLL1
TUBA4A1	0.000000114344853690302	0.378725083040727	0.351	0.094	0.00235687612426451	4	TUBA4A
GNAL1	0.000000115324566903175	0.426127826996142	0.421	0.125	0.00237706997300825	4	GNAL
PDPR	0.000000115510146398073	0.271164367218585	0.491	0.157	0.00238089513755708	4	PDPR
ZNF2641	0.000000116135496030987	0.421789196597655	0.456	0.141	0.0023937848441907	4	ZNF264
BEND7	0.000000117325535862446	0.711444428946685	0.263	0.059	0.00241831394519675	4	BEND7
RAB262	0.000000117354694755768	0.322719049532771	0.456	0.136	0.00241891496830589	4	RAB26
RP5-1021I20.5	0.000000118227295916303	0.376920760330476	0.421	0.122	0.00243690102342683	4	RP5-1021I20.5
SEMA3A2	0.000000119088183076525	0.423159207705084	0.632	0.236	0.00245464562957334	4	SEMA3A
ISPD2	0.000000120405948905479	0.263289326704068	0.561	0.187	0.00248180741883973	4	ISPD
CCBL11	0.000000122759791859799	0.375028603905741	0.544	0.182	0.00253032482981418	4	CCBL1
OGDH1	0.000000125065381333068	0.366355636064534	0.596	0.211	0.00257784764003719	4	OGDH
PGBD1	0.000000126151277912161	0.403921467911477	0.316	0.079	0.00260023014032545	4	PGBD1
ZNF594	0.000000126428597362816	0.476251934235048	0.263	0.059	0.00260594624884235	4	ZNF594
RP11-231C18.31	0.000000131964911689478	0.517464993165173	0.526	0.182	0.00272006075974351	4	RP11-231C18.3
IL12RB2	0.000000132501262460085	0.580944160694512	0.281	0.065	0.00273111602182728	4	IL12RB2
SLC38A62	0.000000134078858147959	0.483335475468455	0.509	0.166	0.00276363342414572	4	SLC38A6
NNAT	0.000000139154122123154	0.745970965619842	0.263	0.06	0.00286824476520245	4	NNAT
DEPDC5	0.000000139239573777425	0.623443635400142	0.456	0.149	0.00287000609470029	4	DEPDC5
KIAA12172	0.000000142992867979738	0.300406173608257	0.596	0.22	0.00294736899479836	4	KIAA1217
STK38L1	0.000000144168357671534	0.270966407466115	0.456	0.141	0.00297159818832566	4	STK38L
MED311	0.000000149794967967236	0.723063402127063	0.386	0.113	0.00308757387974067	4	MED31
REEP12	0.000000151261415155858	0.516728487972471	0.491	0.166	0.00311780028919255	4	REEP1
SLC44A52	0.000000151597625887201	0.435254410615932	0.561	0.198	0.00312473026478699	4	SLC44A5
SSBP31	0.000000153290448841614	0.490642350450645	0.667	0.25	0.00315962273152334	4	SSBP3
DBNL	0.000000154014339613734	0.354149782199477	0.281	0.065	0.00317454356811829	4	DBNL
PEBP4	0.000000156782446709285	0.372758273727214	0.333	0.087	0.00323159979157179	4	PEBP4
MARCH111	0.000000157025884382039	0.679501813300347	0.333	0.09	0.00323661752888259	4	MARCH11
ZBTB42	0.000000157243698490913	0.366587708819061	0.509	0.17	0.00324110711329469	4	ZBTB4
RP11-156P1.22	0.000000157295481543846	0.389886973095991	0.561	0.193	0.00324217446558175	4	RP11-156P1.2
LRGUK	0.000000160649796813383	0.470101661126694	0.263	0.059	0.00331131361191745	4	LRGUK
SPAG11	0.000000163256301238837	0.262805810293706	0.351	0.094	0.00336503888113491	4	SPAG1
RHOBTB1	0.000000164544644747725	0.543767336949841	0.544	0.187	0.00339159421754011	4	RHOBTB1
ZCCHC171	0.000000165513946430749	0.42733650352497	0.456	0.144	0.00341157346383059	4	ZCCHC17
CACNA1A3	0.000000165775163492739	0.509580070095148	0.754	0.377	0.00341695766991233	4	CACNA1A
FAAH	0.000000167736675436245	0.376268042303383	0.316	0.079	0.00345738835409189	4	FAAH
YWHAZ2	0.000000167823388678511	0.382168703697413	0.596	0.212	0.00345917568744146	4	YWHAZ
CARS2	0.000000167926700272055	0.515205122147193	0.386	0.113	0.00346130514600759	4	CARS2
NMT22	0.00000016875527212195	0.308021867467864	0.509	0.165	0.00347838366897764	4	NMT2
RNF103-CHMP3	0.000000168772883518224	0.382803240963266	0.263	0.059	0.00347874667507763	4	RNF103-CHMP3
RASAL24	0.000000168945385058686	0.631594617736929	0.737	0.368	0.00348230227682964	4	RASAL2
RP13-578N3.31	0.00000016921132680846	0.342030669848714	0.404	0.117	0.00348778386817598	4	RP13-578N3.3
MRPL41	0.000000169446878475408	0.433081760091547	0.386	0.109	0.00349263905913511	4	MRPL41
TWSG11	0.00000017060449558291	0.320602578591988	0.439	0.135	0.00351649986295494	4	TWSG1
VSTM2L	0.000000177292436476695	0.640994043060949	0.263	0.059	0.00365435170065764	4	VSTM2L
PCGF6	0.000000179091597278507	0.263986395763089	0.333	0.087	0.00369143600310458	4	PCGF6
GAK	0.000000180476054687526	0.519263791221248	0.333	0.089	0.00371997243921929	4	GAK
KLHL22	0.000000181035812748922	0.38837632049791	0.702	0.266	0.00373151017238078	4	KLHL2
SDAD11	0.000000184710353802348	0.528508921294761	0.368	0.101	0.003807249812574	4	SDAD1
TMC2	0.000000186053060024216	0.399468949770514	0.281	0.065	0.00383492567321913	4	TMC2
SEMA5B1	0.000000186166918812219	0.424058310653097	0.281	0.067	0.00383727253055746	4	SEMA5B
CPSF3L	0.000000187006584484688	0.367280953736416	0.456	0.143	0.0038545797193984	4	CPSF3L
KIAA20121	0.000000193443927055517	0.688033910563996	0.316	0.082	0.00398726622446831	4	KIAA2012
RPRD1B	0.000000198277434651617	0.370835810222222	0.368	0.103	0.00408689448303913	4	RPRD1B
LRP111	0.000000198595215399112	0.807444097824571	0.333	0.09	0.00409344457980649	4	LRP11
GAS21	0.000000198757692192317	0.339937402812033	0.439	0.136	0.00409679355146804	4	GAS2
LINC011223	0.00000020505885104953	0.408788078053317	0.596	0.22	0.00422667303783291	4	LINC01122
LYRM5	0.000000208984655024185	0.395973662232488	0.351	0.095	0.0043075917093585	4	LYRM5
NELFA2	0.000000210141791441083	0.288803933128286	0.509	0.166	0.0043314426051836	4	NELFA
IPPK	0.000000213102778517533	0.54395809551595	0.333	0.089	0.00439247447080338	4	IPPK
RHBDL32	0.000000213108228142507	0.557126924636283	0.404	0.125	0.00439258679847335	4	RHBDL3
LRRTM43	0.000000217851009594291	0.807751778939365	0.702	0.395	0.00449034500975753	4	LRRTM4
KLC41	0.000000218754952638578	0.401633173299439	0.421	0.127	0.00450897708378638	4	KLC4
ATP6V1E11	0.000000219658769635167	0.663760499144363	0.421	0.132	0.00452760655972007	4	ATP6V1E1
SYP3	0.000000219756388762049	0.457042602111878	0.684	0.263	0.00452961868516335	4	SYP
AGO4	0.000000219834685164873	0.472962823409594	0.684	0.261	0.00453123253061836	4	AGO4
OGG11	0.000000220227802301355	0.460090238281364	0.386	0.111	0.00453933546103552	4	OGG1
LCLAT11	0.000000224940461333235	0.341767274669646	0.526	0.177	0.00463647278900065	4	LCLAT1
C8orf342	0.000000225620874263447	0.292915337077382	0.632	0.235	0.00465049746031816	4	C8orf34
CDC42BPB	0.000000225887817941675	0.265205855284203	0.579	0.198	0.0046559997034138	4	CDC42BPB
PARVB	0.000000228605839511815	0.462096324373395	0.316	0.081	0.00471202356401752	4	PARVB
RAB6B1	0.000000229491253410748	0.525634512549334	0.404	0.12	0.00473027371530233	4	RAB6B
BRD81	0.000000229762325756572	0.303351432957157	0.474	0.149	0.00473586105849446	4	BRD8
RECK	0.000000232004265184431	0.267763016624078	0.596	0.211	0.0047820719139815	4	RECK
HS3ST42	0.000000239490877764228	0.841295101921183	0.456	0.16	0.00493638597247627	4	HS3ST4
PGP1	0.000000249466640322679	0.376270981361112	0.368	0.101	0.00514200639033107	4	PGP
FAM19A52	0.000000249724479583567	0.310276135715525	0.474	0.152	0.00514732097317648	4	FAM19A5
MZF1	0.000000249783004573276	0.911033710208834	0.351	0.1	0.00514852729026436	4	MZF1
NEGR14	0.000000252944543912957	0.658557776469289	0.754	0.452	0.00521369293913388	4	NEGR1
CALN12	0.000000255886799242618	0.451551921544029	0.772	0.38	0.00527433870598883	4	CALN1
SEC24A1	0.000000256289937429937	0.494715449157875	0.439	0.138	0.00528264819030586	4	SEC24A
LARP4	0.000000257112000956634	0.508753775943513	0.421	0.13	0.00529959256371813	4	LARP4
MIR9-3HG	0.000000258085426036667	0.292763404117526	0.316	0.081	0.00531965680146778	4	MIR9-3HG
CTC-340D7.11	0.000000260983954590656	0.520603312637385	0.298	0.074	0.00537940127202259	4	CTC-340D7.1
IDH3A	0.000000264083393935899	0.497843118113021	0.386	0.113	0.00544328691580676	4	IDH3A
RIPK1	0.000000267651544508766	0.461430892190063	0.351	0.095	0.00551683363541469	4	RIPK1
ANXA6	0.000000269242448726387	0.393528600481226	0.333	0.089	0.00554962535314828	4	ANXA6
DDX10	0.000000274542755810526	0.298313413576011	0.544	0.185	0.00565887528276656	4	DDX10
PDP22	0.000000280012058133254	0.396111225943096	0.614	0.22	0.00577160854224262	4	PDP2
MAOB	0.000000283231495061732	0.498380986103139	0.298	0.076	0.00583796757621241	4	MAOB
FBXO36	0.00000028598853612341	0.305037519906121	0.351	0.097	0.00589479570657573	4	FBXO36
SLC1A4	0.000000289267960159494	0.475524030601721	0.298	0.074	0.0059623911948075	4	SLC1A4
TUBA1B2	0.000000292103171491111	0.462701423088551	0.614	0.23	0.00602083057077478	4	TUBA1B
SYNGR11	0.000000292305268531285	0.734080334955027	0.404	0.124	0.00602499619496684	4	SYNGR1
CCNC1	0.000000292944350410757	0.405664224301083	0.421	0.128	0.00603816895066653	4	CCNC
AC159540.12	0.000000293007661057622	0.375578979105349	0.719	0.285	0.00603947390971971	4	AC159540.1
MTPN	0.000000293740051529363	0.55483345663155	0.298	0.076	0.00605456994212323	4	MTPN
RP11-637O19.3	0.000000295886189517327	0.633465451558711	0.298	0.076	0.00609880613833114	4	RP11-637O19.3
FAM78B1	0.000000296149376259744	0.678397870816605	0.351	0.1	0.00610423094346584	4	FAM78B
UBOX5-AS1	0.000000302539450848193	0.33249411453656	0.368	0.105	0.00623594316088295	4	UBOX5-AS1
ZNF804B1	0.000000305299421629406	0.644331536965564	0.404	0.13	0.00629283167862531	4	ZNF804B
ACTR6	0.000000306735922362357	0.293057114513813	0.298	0.074	0.0063224408317329	4	ACTR6
FAM19A23	0.000000309922644484539	0.384675869024281	0.684	0.279	0.00638812554811531	4	FAM19A2
RGS73	0.00000031360760559637	0.669790575972457	0.702	0.379	0.00646407996655237	4	RGS7
PI4KA2	0.000000314479093434097	0.631739580811062	0.737	0.379	0.0064820430738636	4	PI4KA
NCS11	0.000000316307059869809	0.566398628616701	0.386	0.116	0.0065197211180365	4	NCS1
RPF2	0.000000318165681637311	0.39778465220237	0.298	0.074	0.00655803102990826	4	RPF2
MAP3K4	0.000000323490083303588	0.340657487684993	0.439	0.136	0.00666777759705356	4	MAP3K4
RP11-390N6.11	0.000000327709307024295	0.521784814060744	0.351	0.098	0.00675474423638477	4	RP11-390N6.1
SENP51	0.000000328341106977597	0.444611341896729	0.649	0.25	0.00676776689702222	4	SENP5
TBC1D23	0.000000329592318470501	0.290469304560775	0.421	0.128	0.00679355686831396	4	TBC1D23
FAM216A	0.000000331246430119958	0.419771927706014	0.333	0.09	0.00682765141763258	4	FAM216A
EPHA71	0.000000336069097549328	0.522340724702951	0.333	0.092	0.00692705623868675	4	EPHA7
MYLK	0.000000348176045961322	0.491767239393084	0.386	0.114	0.00717660465935478	4	MYLK
INTS10	0.000000348857403854433	0.287008117150692	0.684	0.271	0.00719064880824758	4	INTS10
SUMF2	0.000000349798172525554	0.25887172283123	0.561	0.195	0.00721003993209671	4	SUMF2
HABP4	0.000000359500940825327	0.520823199389501	0.421	0.133	0.00741003339229163	4	HABP4
BRINP33	0.00000036012141415048	0.534726963559825	0.596	0.236	0.00742282258846969	4	BRINP3
UGCG	0.000000360327010934402	0.289114789878767	0.316	0.082	0.00742706034937989	4	UGCG
CPNE81	0.00000036822587720064	0.647954087086007	0.368	0.111	0.00758987178085958	4	CPNE8
RAB40C1	0.000000369122802953882	0.266081021637321	0.439	0.136	0.00760835921448541	4	RAB40C
CLNK1	0.000000378567898852076	0.491741402420657	0.439	0.138	0.00780304153113899	4	CLNK
HSF2	0.000000380850077860212	0.345999153666473	0.281	0.068	0.0078500818048547	4	HSF2
SNRNP40	0.000000394161493153763	0.51507071943798	0.351	0.1	0.00812445669688536	4	SNRNP40
PRKCZ1	0.000000402277158986394	0.250214564074642	0.421	0.128	0.00829173680102755	4	PRKCZ
RP11-525K10.3	0.000000402938914279466	0.563357612269256	0.263	0.062	0.00830537690112836	4	RP11-525K10.3
CREG21	0.000000404611991192493	0.781818045293299	0.333	0.097	0.00833986236245968	4	CREG2
RP11-867G2.8	0.000000410789137135919	0.49679034851275	0.316	0.084	0.00846718569464556	4	RP11-867G2.8
RPS6KL11	0.00000042760681377908	0.367453622847421	0.333	0.092	0.00881383164561439	4	RPS6KL1
DENND6B1	0.000000438132821617267	0.520110397707203	0.368	0.111	0.0090307937191751	4	DENND6B
DAG1	0.000000440174266083667	0.471454428749509	0.316	0.084	0.00907287197251654	4	DAG1
PRKACA	0.000000444945730567045	0.303688733345421	0.351	0.098	0.00917122139844792	4	PRKACA
RAD54L22	0.000000454146619319252	0.450782489107922	0.509	0.177	0.00936087011740843	4	RAD54L2
IREB2	0.000000456223252716932	0.289334221010476	0.544	0.189	0.0094036736850014	4	IREB2
MED6	0.000000456452904000636	0.309926362087583	0.368	0.106	0.0094084072572611	4	MED6
NEBL3	0.000000457569860408979	0.281699411554695	0.667	0.279	0.00943142996274988	4	NEBL
C1QBP	0.000000460218578474923	0.366853289770392	0.263	0.062	0.00948602533952511	4	C1QBP
SYT161	0.000000461362391695505	0.640858618027245	0.386	0.119	0.00950960161762775	4	SYT16
CTNNBIP11	0.000000465522864561726	0.258624369639517	0.456	0.149	0.0095953572843463	4	CTNNBIP1
TMOD22	0.000000467373617755236	0.387966043969516	0.632	0.242	0.00963350500917093	4	TMOD2
MTA32	0.000000477311859841408	0.462845793018725	0.719	0.3	0.00983835205505111	4	MTA3
THRB2	0.000000486163094831741	0.565409843684628	0.684	0.307	0.0100207937106718	4	THRB
IAH1	0.00000049043227323426	0.292212424507818	0.561	0.198	0.0101087900159046	4	IAH1
COL19A12	0.000000492042906794617	0.474126756551735	0.579	0.222	0.0101419883948507	4	COL19A1
ZNF5402	0.000000492191395950676	0.295022659459084	0.491	0.165	0.0101450490533353	4	ZNF540
CUTC1	0.000000508390177594898	0.392535484654912	0.526	0.184	0.010478938340586	4	CUTC
RQCD1	0.000000512129941900641	0.363419364873368	0.316	0.084	0.010556022362456	4	RQCD1
SNRNP200	0.000000514806889089029	0.344206947269058	0.386	0.114	0.0106111995979031	4	SNRNP200
IFT431	0.000000523580035079022	0.55560341320553	0.526	0.182	0.0107920316830488	4	IFT43
CLSTN12	0.000000523676087125078	0.512912146296351	0.667	0.279	0.0107940115078221	4	CLSTN1
LRRC73	0.000000530341123513563	0.591842346154594	0.754	0.469	0.0109313912378616	4	LRRC7
FOXK21	0.00000053171750563791	0.263098586316198	0.684	0.255	0.0109597612262086	4	FOXK2
SPATA6L1	0.000000543592232691356	0.467623327116796	0.351	0.1	0.0112045231002342	4	SPATA6L
NIPA2	0.000000557545348737002	0.338958996345168	0.298	0.076	0.0114921247281671	4	NIPA2
RP11-977G19.11	0.000000563580537085818	0.397919640667182	0.281	0.07	0.0116165220304129	4	RP11-977G19.11
AGBL1	0.000000577973368767372	0.74549384187703	0.333	0.094	0.0119131870770331	4	AGBL1
NFATC2IP	0.000000583023545939842	0.517276521875889	0.421	0.138	0.012017281328912	4	NFATC2IP
ANKRD161	0.000000597391061439569	0.442943704355567	0.351	0.101	0.0123134245583924	4	ANKRD16
STK40	0.000000598139386816606	0.5389798930995	0.333	0.095	0.0123288490410639	4	STK40
DAB12	0.000000600954010106905	0.584553050255126	0.737	0.388	0.0123868640563235	4	DAB1
NAPG	0.000000606000386777816	0.305615009642863	0.404	0.124	0.0124908799722643	4	NAPG
ASXL33	0.00000060684846191682	0.379879946170113	0.526	0.185	0.0125083604970295	4	ASXL3
FSD2	0.000000609954402472226	0.488268635888402	0.263	0.063	0.0125723801437575	4	FSD2
TRANK11	0.00000061021166637366	0.456184978019963	0.404	0.127	0.0125776828672939	4	TRANK1
B3GLCT2	0.000000614376155287471	0.344405760257576	0.579	0.212	0.0126635213127853	4	B3GLCT
FAM156A	0.000000624122452111576	0.519814233267151	0.263	0.063	0.0128644119829238	4	FAM156A
MSL2	0.000000625199975199782	0.397884017881691	0.333	0.094	0.0128866218888179	4	MSL2
RASA22	0.000000629827697934123	0.288916161195534	0.702	0.269	0.0129820085098181	4	RASA2
PTDSS11	0.000000633456292186883	0.454494618793085	0.351	0.1	0.013056801094556	4	PTDSS1
OGT2	0.000000634634687917121	0.356595771835162	0.632	0.235	0.0130810901873477	4	OGT
UTP6	0.000000638463473386799	0.483846193246671	0.298	0.078	0.0131600091134487	4	UTP6
